Point_name,corner_x,corner_y
a0,275561.4711,1497699.773
a1,275564.6323,1497691.876
a2,275569.4299,1497682.423
a3,275573.6591,1497673.824
a4,275576.6483,1497665.083
b0,275569.9853,1497704.387
b1,275572.9256,1497694.785
b2,275578.7555,1497685.947
b3,275581.8082,1497679.421
b4,275585.496,1497669.518
c0,275579.2518,1497710.208
c1,275584.2253,1497700.308
c2,275588.7859,1497691.34
c3,275591.3085,1497682.612
c4,275594.3719,1497673.497
d0,275588.5357,1497714.792
d1,275593.044575,1497705.15375
d2,275597.4708,1497696.465
d3,275599.8878,1497687.128
d4,NA,NA
e0,275597.0471,1497717.511
e1,275601.9465,1497709.05
e2,275605.7165,1497700.15
e3,275609.59,1497690.968
e4,NA,NA
z*a0,275546.9526,1497707.17
z*a4,275572.0591,1497651.021
z*e0,275599.6325,1497729.382
z*e4,NA,NA
z0a,275554.802,1497710.871
z0b,275564.4212,1497713.19
z0c,275573.6129,1497718.379
z0d,275582.5201,1497721.974
z0e,275591.3227,1497725.559
z4a,275582.8982,1497654.615
z4b,275590.0284,1497659.173
z4c,275600.5035,1497662.791
z4d,275607.3727,1497667.89
za0,275553.3731,1497696.357
za1,275556.4479,1497687.477
za2,275560.2813,1497678.19
za3,275565.8001,1497669.17
za4,275569.3306,1497661.551
ze0,275605.499,1497720.424
ze1,275610.6051,1497711.044
ze2,275614.2665,1497701.922
ze3,275618.2574,1497694.085
ze4,275622.3182,1497684.905
