dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275551.290551828,1497696.93023042,Okay,3661
275551.849654776,1497698.62239503,Okay,3662
275553.235477452,1497698.52263156,Okay,3663
275553.26521886,1497698.07361343,Okay,3664
275554.301218951,1497699.73169928,Okay,3665
275555.914656876,1497700.54633033,Okay,3666
275554.586131107,1497700.61768721,Okay,3667
275554.565009123,1497700.90335597,Okay,3668
275554.863348979,1497701.00388691,Okay,3669
275553.006339971,1497703.29078199,Okay,3670
275550.681329441,1497701.96840633,Okay,3671
275548.951229907,1497702.46706703,Okay,3672
NA,NA,Corner_missing,3673
275550.159221938,1497705.05737705,Okay,3674
275550.795747926,1497706.06084987,Okay,3675
275552.368733215,1497707.92623978,Okay,3676
275552.758138936,1497707.98063117,Okay,3677
275554.532486537,1497708.27495253,Okay,3678
275554.713013929,1497708.35257163,Okay,3679
275554.825649563,1497708.03109847,Okay,3680
NA,NA,Distances_too_small,3681
NA,NA,Distances_too_small,3682
NA,NA,Distances_too_small,3683
275555.155575658,1497707.50954433,Okay,3684
NA,NA,Distances_too_small,3685
275553.654406345,1497706.36483436,Okay,3686
275552.940225586,1497705.60014656,Okay,3687
275556.418625312,1497706.06564646,Okay,3688
275557.072943552,1497705.59933846,Okay,3689
275554.451654039,1497704.63704959,Okay,3690
NA,NA,Distances_too_small,3691
NA,NA,Distances_too_small,3692
NA,NA,Distances_too_small,3693
NA,NA,Distances_too_small,3694
NA,NA,Distances_too_small,3695
NA,NA,Distances_too_small,3696
275558.360763352,1497700.8756359,Okay,3697
